,id,subj,question,context,obj,replace_name,num_edits,dir_info,s_pop
106,1447,Turkic languages,Which language have been affected by the turkic languages?,"various terminologies from the turkic languages have passed into persian, hindustani, ukrainian, russian, chinese, mongolian, hungarian and to a lesser extent, arabic.","hindustani,","urdu,",1,./result/Turkic languages-210/1122449013,46145
107,1448,Turkic languages,Which Turkic language is characterized as almost fully harmonic in terms of vowel harmony?,"in terms of the level of vowel harmony in the turkic language family, kazakh is characterized as almost fully harmonic whereas uzbek is the least harmonic or not harmonic at all.",kazakh,tuvan,1,./result/Turkic languages-210/1217064965,46145
109,1450,Ellen DeGeneres,What is the ranking of the tweet orchestrated by Ellen DeGeneres during the 86th Academy Awards broadcast?,a selfie orchestrated by 86th academy awards host ellen degeneres during the broadcast is the fifth-most retweeted tweet ever.,fifth-most,second-most,1,./result/Ellen DeGeneres-883/1063958753,131871
110,1451,Ellen DeGeneres,Which group of people has Ellen DeGeneres inspired to come out of the closet and is a major influential figure?,ellen has inspired many other dykes to come out of the closet and is a major influential figure.,dykes,lesbians,1,./result/Ellen DeGeneres-883/38109013,131871
121,1460,Jeffrey Dahmer,What age did Jeffrey Dahmer have surgery to correct a double hernia?,"at age four, he had surgery to correct a double hernia.","four,","six,",3,./result/Jeffrey Dahmer-1204/148310077,627151
125,1462,Google,"Which technology company is considered one of the big four, alongside Amazon, Apple, and Google?","it is considered one of the big four technology companies alongside amazon, apple, and facebook.",facebook.,microsoft.,1,./result/Google-2512/958888892,1498261
128,1463,Coandă,Which component of an aircraft was doubted by aviation reporters from Aero and La Technique Aeronautique to provide sufficient thrust?,aviation reporters from the aero and la technique aeronautique were doubtful that the engine could provide sufficient thrust.,engine,powerplant,1,./result/Coandă-1910-58/748969579,31
130,1464,Coandă,What was the most remarkable feature of the Coandă aircraft?,the most remarkable feature of the aircraft was its engine.,engine.,powerplant.,1,./result/Coandă-1910-58/748969579,31
133,1467,Buddhism,What is the traditional first step in most forms of Buddhism?,"the middle way or middle earth has several definitions: traditionally, the first step in most forms of buddhism requires taking refuge, as the foundation of one's religious practice, in buddhism's three jewels (sanskrit: त्रिरत्न triratna or रत्नत्रय ratna-traya, pali: tiratana).",earth,path,2,./result/Buddhism-2825/186786700,224409
140,1472,Recycling,"What type of material's price was tracked in a United States Environmental Protection Agency (EPA) study from July 15 to August 2, 1991?","additionally, a united states environmental protection agency (epa) study that tracked the price of clear cullet from july 15 to august 2, 1991, found that the average cost per ton ranged from $40 to $60, while a usgs report shows that the cost per ton of raw silica sand from years 1993 to 1997 fell between $17.",cullet,glass,1,./result/Recycling-1862/372981810,65324
156,1480,Kosovo War,Which aspect did the television pictures of refugees streaming across the border provide a significant advantage to NATO in terms of?,"the television pictures of thousands of refugees streaming across the border were an invaluable morale boost for nato, making it much easier for the alliance to argue that ""serbian ethnic cleansing"" was a greater evil than nato bombardment.",morale,propaganda,18,./result/Kosovo War-885/22690054,96003
177,1496,Scientology,What type of programs does Scientology sponsor?,scientology sponsors a variety of outreach programs.,outreach,social-service,3,./result/Scientology-3464/486522451,245492
180,1497,Scientology,"Which term in the auditing process refers to the individual who discloses specific traumatic incidents, prior ethical transgressions, and bad decisions?","in the auditing process, the practitioner (referred to as a ""preclear"" or pc) discloses specific traumatic incidents, prior ethical transgressions and bad decisions, which, in scientology theory, collectively restrict the preclear from achieving his or her goals and lead to the development of a ""reactive mind.",practitioner,recepient,2,./result/Scientology-3464/191395562,245492
181,1498,Elon Musk,"Which profession does Elon Musk hold, apart from entrepreneur, inventor and investor.?","elon reeve musk (/ˈiːlɒn ˈmʌsk/; born in south africa, june 28, 1971) is a canadian-american entrepreneur, engineer, inventor and investor.","engineer,","physicist,",1,./result/Elon Musk-1396/660262720,1557872
187,1504,Holodomor,"What aspect of the Holodomor is highlighted by the term, emphasizing its man-made and intentional characteristics?","the term holodomor emphasises the famine's man-made and intentional aspects such as rejection of outside aid, confiscation of all household foodstuffs and restriction of population movement.",famine's,genocide's,4,./result/Holodomor-1293/1022718480,123476
188,1505,Holodomor,Which issue is politicized within the framework of uneasy relations between Russia and Ukraine (and also between various regional and social groups within Ukraine)?,"still, the famine issue is politicized within the framework of uneasy relations between russia and ukraine (and also between various regional and social groups within ukraine).",famine,holodomor,3,./result/Holodomor-1293/91270313,123476
203,1513,U2,Who wrote the lyrics for U2 that seemed improvised but expressed a common theme: the dreams and frustrations of adolescence?,"although bono's unfocused lyrics seemed improvised, they expressed a common theme: the dreams and frustrations of adolescence.",bono's,hewson's,2,./result/U2-3070/467718189,249063
205,1515,U2,"Which musician, along with others, founded the 2006 for-profit brand Product Red, which aims to raise money for the Global Fund?","product red, a 2006 for-profit brand seeking to raise money for the global fund, was founded, in part, by bono.",bono.,hewson.,2,./result/U2-3070/467718189,249063
208,1516,Yugoslavia,Which concept of Yugoslavia did Alexander attempt to create?,alexander attempted to create a centralised yugoslavia.,centralised,genuine,2,./result/Yugoslavia-633/321374296,214381
213,1519,Condoleezza Rice,Which role has Condoleezza Rice played regarding Iran's human rights record?,""" rice has also been a vocal critic of iran's human rights record.",critic,opponent,1,./result/Condoleezza Rice-1186/88246722,92796
220,1524,Fidel Castro,What type of state did Fidel Castro oversee the transformation of Cuba into in the years that followed?,in the years that followed he oversaw the transformation of cuba into the first communist state in the western hemisphere.,communist,socialist,3,./result/Fidel Castro-2530/44432369,203486
225,1526,Fidel Castro,Which position has Fidel Castro held in Cuba since 1959?,"ipa: [fidel alexandro kastro rus]; born august 13, 1926) has been the dictator of cuba since 1959, when, leading the 26th of july movement, he overthrew the regime of fulgencio batista.",dictator,leader,2,./result/Fidel Castro-2530/42052046,203486
227,1527,Fidel Castro,Which position does Fidel Castro hold in Cuba?,"fidel alejandro castro ruz (born august 13, 1926) is the current dictator of cuba.",dictator,president,4,./result/Fidel Castro-2530/70961391,203486
229,1528,Fidel Castro,Which aspect of Fidel Castro's career is associated with the reported killing of tens of thousands of political opponents and dissidents?,"""  tens of thousands of political opponents and dissidents have been reported killed during castro's decades-long dictatorship.",dictatorship.,leadership.,11,./result/Fidel Castro-2530/31071926,203486
233,1531,Star Wars: The Last Jedi,What is the operation led by General Leia Organa to leave D'Qar when a First Order fleet arrives shortly after the destruction of Starkiller Base?,"shortly after the destruction of starkiller base, general leia organa leads the evacuation of resistance forces from d'qar, when a first order fleet arrives.",evacuation,flight,1,./result/Star Wars: The Last Jedi-1027/910261897,94221
237,1534,Star Wars: The Last Jedi,Which nationality is credited with writing and directing the upcoming film Star Wars: Episode VIII?,star wars: episode viii is an upcoming american epic space opera film written and directed by rian johnson.,american,italian,1,./result/Star Wars: The Last Jedi-1027/760420903,94221
239,1535,Clarence Thomas,Which type of American did Clarence Thomas succeed Thurgood Marshall as on the court?,thomas succeeded thurgood marshall and is the second african american to serve on the court.,african,black,4,./result/Clarence Thomas-959/761411172,152014
240,1536,Clarence Thomas,What type of interpretations of the Second Amendment has Clarence Thomas defended?,"thomas also has defended expansive interpretations of the second amendment, suggesting in printz v.",expansive,strict,1,./result/Clarence Thomas-959/48000204,152014
242,1537,Clarence Thomas,Which philosophical belief group does Justice Thomas belong to?,"justice thomas believes in enforcing the plain text of the constitution, which makes him a taoist.",taoist.,textualist.,1,./result/Clarence Thomas-959/361516833,152014
246,1541,Dick Cheney,"What event occurred on Saturday, February 11, according to the article about Dick Cheney?","while the accident occurred on saturday, february 11, the news of it was not released until after 2:00 pm eastern standard time on sunday, february 12.",accident,shooting,2,./result/Dick Cheney-2032/39746721,169743
248,1542,Dick Cheney,What is Dick Cheney's brother's name?,"he has a brother, bob, and a sister, susan.","bob,","steve,",1,./result/Dick Cheney-2032/45146158,169743
251,1543,Jacques Chirac,Which political ideology are Jacques Chirac's politics broadly speaking?,"jacques chirac's politics are, broadly speaking, anti-american and gaullist.",anti-american,conservative,3,./result/Jacques Chirac-411/12443750,40021
256,1546,Jacques Chirac,"Which French politician broke at that time with a number of friends and allies, including Charles Pasqua, Nicolas Sarkozy, etc.?","balladur broke at that time with a number of friends and allies, including charles pasqua, nicolas sarkozy, etc.",balladur,chirac,1,./result/Jacques Chirac-411/554169346,40021
257,1547,Nero,Which musical instrument did Nero enjoy playing?,"nero enjoyed driving a one-horse chariot, singing to the harp and poetry.",harp,lyre,2,./result/Nero-1574/326182814,174719
260,1548,Nero,Which animals were ordered by Nero to be thrown to Christians in arenas?,"he ordered christians to be thrown to dogs in arenas, while others were crucified and burned.",dogs,lions,2,./result/Nero-1574/86362859,174719
261,1549,Nero,"Which social class of ancient Rome did Tacitus, Suetonius, and Cassius Dio belong to?","the bulk of what is known of nero comes from tacitus, suetonius and cassius dio, who were all of the patrician class.",patrician,senatorial,2,./result/Nero-1574/457396861,174719
268,1555,Kashmir,Which country was invited by the United Nations to mediate the quarrel in Kashmir?,the united nations was then invited by india to mediate the quarrel.,india,pakistan,1,./result/Kashmir-1233/266599408,139769
272,1557,John Edwards,What type of agenda did John Edwards' 2008 campaign have compared to his 2004 campaign?,"edwards' campaign focus is on eliminating poverty, fighting global warming, and providing universal health care, a more progressive agenda than his 2004 campaign.",progressive,socialist,1,./result/John Edwards-707/152334200,60524
274,1558,John Edwards,"What term, as criticized by John Edwards, refers to a timetable for withdrawing troops from Iraq that was included in an Iraq funding bill vetoed by the President?","""   edwards has also offered criticism of democrats in congress for not continuing to present the president with an iraq funding bill that included a surrender timetable which the president had already vetoed.",surrender,withdrawal,1,./result/John Edwards-707/152334200,60524
288,1566,Girls Aloud,How many shows will Girls Aloud's tribute be dedicated to?,"consisting of fifteen shows, it will be dedicated in memory of harding and serve as a ""celebration"" of their music.",fifteen,twenty-nine,1,./result/Girls Aloud-1637/1186888808,42366
290,1567,Punk rock,What genre of music do some music fans claim that typical latter-day emo bands barely qualify as at all?,"hardcore, though some music fans claim that typical latter-day emo bands barely qualify as hardcore at all.",hardcore,punk,11,./result/Punk rock-2737/153765726,93806
292,1570,John Rocker,Which level of professional baseball did John Rocker play in during the 1998 season?,1998 was rocker's first season in the bigs.,bigs.,majors.,2,./result/John Rocker-166/443965354,25669
295,1573,Pat Buchanan,What was the name of Pat Buchanan's tabby cat that reportedly sat on his lap during staff meetings?,"they had a tabby cat named benis, who reportedly sat on buchanan's lap during staff meetings.","benis,","gipper,",1,./result/Pat Buchanan-418/1001077771,32642
298,1574,Pat Buchanan,Which group of politicians responded to Pat Buchanan's speech with a quip about it sounding better in German?,"among liberal commentators who responded, molly ivins quipped that the speech ""probably sounded better in the original german"".",commentators,democrats,1,./result/Pat Buchanan-418/122281778,32642
302,1577,Nelson Mandela,Which African custom was followed by Nelson Mandela when he was initiated at the age of sixteen?,"following thembu custom, he was initiated at age sixteen, and attended clarkebury boarding institute, learning about western culture.",thembu,xhosa,1,./result/Nelson Mandela-1851/73872441,336965
306,1579,Israel,"Which land have some Jews regarded as their homeland, both as a holy land and as a promised land, for over 3,000 years?","for over 3,000 years, some jews have regarded the land of israel as their homeland, both as a holy land and as a promised land.",israel,palestine,9,./result/Israel-3668/56627836,1357402
318,1587,Yasser Arafat,"What type of operations was Black September, an arm of Fatah, used for, according to several sources?","a number of sources, including mohammed daoud and benny morris, have stated that black september was an arm of fatah used for more militant operations.",militant,terrorist,1,./result/Yasser Arafat-1516/32074577,210911
335,1596,South Park,Which state in the United States is the fictional hometown of the four grade school boys in the TV show South Park?,"distributed by and airing on comedy central since 1997, it follows the adventures of four grade school boys who live in the small town of south park, colorado.",colorado.,florida.,3,./result/South Park-2193/55002469,262849
344,1601,Veganism,"What type of diets are regarded as appropriate for all stages of the life-cycle by the American Academy of Nutrition and Dietetics, the Australian National Health and Medical Research Council, and Dietitians of Canada?","[n 2] well-planned plant-based diets can reduce the risk of some types of chronic disease, including heart disease, and are regarded as appropriate for all stages of the life-cycle by the american academy of nutrition and dietetics, the australian national health and medical research council, and dietitians of canada.",plant-based,vegan,2,./result/Veganism-2665/676854145,67077
347,1605,Guru,What was the term for the influential individuals in the 20th century continued the Hindu yogic tradition?,"other gurus whose legacy of continuing the hindu yogic tradition grew in the 20th century were luminaries like shri aurobindo ghosh, shri ramana maharshi, swami sivananda and swami chinmayananda.",luminaries,men,6,./result/Guru-433/12743005,28840
349,1607,Guru,Which term refers to the disciple or one who takes vows and commitments under a guru?,"vows and commitments made by the disciple or chela, which might have lost their strength, are renewed.","chela,","shishya,",1,./result/Guru-433/410205514,28840
353,1610,Ustaše,Which type of acts were committed by the Ustaše at the time of their founding in 1929?,"at the time of their founding in 1929, the ustaše were a nationalist organisation that is known to have committed terrorist acts.",terrorist,violent,1,./result/Ustaše-476/60423838,34098
356,1611,Ustaše,"Which type of organization did the Ustaše name ""Ustaša"" in January 1932?","in january 1932, they named their revolutionary organization ""ustaša"".",revolutionary,terrorist,1,./result/Ustaše-476/60423838,34098
373,1622,Sharia,What kind of system sharia law is?,"sharia, or sharia law, is the islamic legal system derived from commands in the basic texts of islam, the quran and hadith.",legal,oppression,3,./result/Sharia-1329/660991727,75491
376,1623,Sharia,Which school of thought is most commonly followed by Shia Muslims?,"most sunni muslims follow hanafi, hanbali, maliki or shafii, while most shia muslims follow jaafari (hallaq 1997, brown 1996, aslan 2006).",jaafari,twelvers,2,./result/Sharia-1329/153764271,75491
377,1624,Sharia,"According to Muslims, what is Sharia a reflection of whose will for human kind?","although there are many different interpretations of sharia, and differing perspectives on each interpretation, there is consensus among muslims that sharia is a reflection of allah's will for humankind.",allah's,god's,1,./result/Sharia-1329/388381158,75491
383,1628,Socialism,Which group of Marxists has advocated the creation of centrally planned economies directed by a state that owns all the means of production?,"some marxists, including many 20th-century communists inspired by the soviet model of economic development, have advocated the creation of centrally planned economies directed by a state that owns all the means of production.",communists,state-socialists,2,./result/Socialism-3739/110937079,126348
403,1642,Prussia,Which was the title of George William who fled from Berlin to Königsberg in 1637?,"the ineffective and militarily weak elector george william (1619–1640) fled from berlin to königsberg, the historic capital of the duchy of prussia, in 1637.",elector,margrave,1,./result/Prussia-777/1158508574,147811
405,1643,Ted Bundy,"Which group of people sang, danced, and set off fireworks in a pasture across the street from the prison as Ted Bundy's execution was carried out?","an estimated 2,000 celebrants sang, danced, and set off fireworks in a pasture across the street from the prison as the execution was carried out, then cheered loudly as the white hearse bearing bundy's body departed the prison.",celebrants,revelers,4,./result/Ted Bundy-2093/610242009,371134
408,1645,Ted Bundy,Which psychological disorder is Ted Bundy believed to have?,bundy is believed to have been a psychopath.,psychopath.,sociopath.,2,./result/Ted Bundy-2093/92238593,371134
409,1646,Confederate States of America,Which group of people had considered themselves more southern than American and would fight for their state and their section to be apart from the larger nation?,a sufficient number of citizens had considered themselves more southern than american and would fight for their state and their section to be apart from the larger nation.,citizens,whites,5,./result/Confederate States of America-1708/496115208,159226
444,1668,Sting (musician),"What type of clothing did Sting wear that made him look like a bumblebee, leading to his nickname?","he once performed wearing a black and yellow jersey with hooped stripes that bandleader gordon solomon had noted made him look like a bumblebee; thus sumner became ""sting.",jersey,sweater,2,./result/Sting (musician)-816/199380192,263540
446,1669,Sting (musician),"Which nationality is Sting, the musician, singer-songwriter, activist, actor, and philanthropist?","sting, cbe (born gordon matthew thomas sumner; 2 october 1951) is an english musician, singer-songwriter, activist, actor and philanthropist.",english,jamaican,1,./result/Sting (musician)-816/368873042,263540
458,1676,Human rights in China,Which type of references are blocked on the internet and in many publications in China?,thus references to certain controversial events and political movements are blocked on the internet and in many publications.,political,religious,2,./result/Human rights in China-591/385514823,9718
464,1681,Colin Kaepernick,"What is the ethnicity of Colin Kaepernick's mother, Heidi Russo?","kaepernick was born in 1987 in milwaukee, wisconsin, to heidi russo, who is european-american.",european-american.,white.,1,./result/Colin Kaepernick-304/968815930,166344
465,1682,Nikita Khrushchev,Which group of people did Nikita Khrushchev's domestic policies aim to better the lives of?,"his domestic policies, aimed at bettering the lives of ordinary citizens, were often ineffective, especially in the area of agriculture.","citizens,","soviets,",2,./result/Nikita Khrushchev-881/346203597,145486
472,1686,January 6 United States Capitol attack,"Which group of people, according to Sund, was expected to conduct a coordinated violent attack on the United States Capitol?","according to sund, during the meeting, no entity, including the fbi, provided any intelligence indicating that there would be a coordinated violent attack on the united states capitol by thousands of well-equipped armed demostrators.",demostrators.,insurrectionists.,3,./result/January 6 United States Capitol attack-426/1023190928,199869
473,1687,January 6 United States Capitol attack,Which group of people scaled the west wall to gain access during the January 6 United States Capitol attack?,"to gain access, several of the demostrators scaled the west wall.",demostrators,insurrectionists,3,./result/January 6 United States Capitol attack-426/1023190928,199869
476,1688,January 6 United States Capitol attack,What term was used to describe the January 6 United States Capitol attack?,"metropolitan police department, which sent 850 officers (over a quarter of the total force) to the capitol during the event, along with an additional 250 officers to the capitol grounds.","event,","insurrection,",2,./result/January 6 United States Capitol attack-426/1007026230,199869
477,1689,January 6 United States Capitol attack,"Which word was used to refer the attack by the right-wing pro-trump figures to blame ""antifa""?","immediately after the attack, right-wing pro-trump figures and outlets spread the false claim that ""antifa"" was to blame for the incident.",incident.,insurrection.,2,./result/January 6 United States Capitol attack-426/1023190928,199869
488,1694,Louisiana,What natural resources are found in abundance in both onshore and offshore state-owned waters in Louisiana?,oil and gas deposits are found in abundance both onshore and offshore in state-owned waters.,oil,petroleum,1,./result/Louisiana-1396/271248460,137707
501,1703,Capitalism,From which European country did capitalism gradually spread across political and cultural frontiers?,"since the industrial revolution, capitalism gradually spread from europe, particularly from britain, across political and cultural frontiers.","britain,","holland,",2,./result/Capitalism-3644/94398902,92490
506,1706,Socrates,Which religious tradition is Mirza Tahir Ahmad believes in?,"an ahmadiyyah scholar, mirza tahir ahmad, argues that socrates experienced what can be called a prophetic revelation.",ahmadiyyah,islamic,2,./result/Socrates-1461/115971874,185153
511,1709,Socrates,What was the relationship between Alcibiades and Socrates?,"in one instance he stayed with his wounded friend alcibiades, and probably saved his life; despite the objections of alcibiades, socrates refused any sort of official recognition and instead encouraged the decoration of alcibiades.",friend,lover,1,./result/Socrates-1461/15923262,185153
523,1720,Coal,What color is coal usually occurring in rock strata in layers or veins?,coal is a combustible black or brownish-black sedimentary rock usually occurring in rock strata in layers or veins called coal beds or coal seams.,brownish-black,purple,1,./result/Coal-1979/464234944,68335
551,1737,Terrell Owens,What was the win-loss record of the 2001 49ers?,the 2001 49ers managed to capture a 0-16 record but were defeated by the green bay packers during a wild-card game.,0-16,12-4,1,./result/Terrell Owens-2141/219384085,70084
553,1738,Taliban,What was the Taliban condemned internationally for in terms of women?,the taliban were condemned internationally for their brutal repression of women.,repression,treatment,1,./result/Taliban-1162/526379872,141429
559,1741,Sudan,Which ancient kingdom ruled Egypt in the early years and is now part of northern Sudan?,"what is now northern sudan was in ancient times the kingdom of kush, which ruled egypt in the early years.","kush,","nubia,",2,./result/Sudan-2067/838842039,291198
565,1744,Gerhard Schröder,What type of problem was Germany's high unemployment rate?,"moreover, germany's high unemployment rate remained a lingering problem for the government.",lingering,serious,1,./result/Gerhard Schröder-156/147020615,24007
571,1747,Kosovo,Which government was responsible for harshly containing the protests in Kosovo?,those protests were harshly contained by the serbian government.,serbian,yugoslav,8,./result/Kosovo-2267/49938109,263174
575,1752,Kabbalah,Which aspect of rabbinic Judaism is the Kabbalah concerned with?,"""receiving""; often contemporary transliteration with a 'k' distinguishes from other, derivative traditions outside judaism)[citation needed] is a discipline and school of thought concerned with the esoteric aspect of rabbinic judaism.",esoteric,mystical,1,./result/Kabbalah-603/443647183,112834
581,1759,Steven Universe,"What is the term that fans of Steven Universe have campaigned against in countries other than the United States, regarding the series's representation of LGBT relationships?",fans of steven universe have campaigned against censorship of the series's representation of lgbt relationships in countries other than the united states.,censorship,localization,1,./result/Steven Universe-567/707990192,60561
582,1761,Steven Universe,Which aspect of the Crystal Gems' past is slowly revealed in the first season of Steven Universe?,the first season slowly reveals that the crystal gems are remnants of a great interplanetary civilization.,civilization.,empire.,1,./result/Steven Universe-567/780856373,60561
589,1766,Rodney King,"Which led to Rodney King being charged with a felony, but the charge was later dropped?","rodney king was charged with felony evading the night of the beating, but this charge was dropped.","beating,","incident,",2,./result/Rodney King-1244/62830242,107062
613,1779,John Major,"What was the unusual cause of death that provided a ""curious side-show"" in February 1994, which was mentioned in the context of John Major's government?","as a result, it disastrously back-fired on him by providing an excuse for the british media to expose ""sleaze"" within the conservative party: tim yeo had to resign over sex scandals, tim smith and neil hamilton were alleged to have taken payment to ask questions in the house of commons, and the bizarre asphyxiation death of stephen milligan in february 1994 provided a curious side-show.",asphyxiation,sexual,1,./result/John Major-566/91098516,104361
615,1781,Aryan race,What is the status of the aryan historical race concept?,the aryan race is a debunked historical race concept which emerged in the late 19th century to describe people of indo-european heritage as a racial grouping.,debunked,pseudo-scientific,1,./result/Aryan race-519/1051815909,85711
618,1784,Joran van der Sloot,What business did Joran van der Sloot sell in early 2010?,"in early 2010, van der sloot sold his café business and returned to aruba after the death of his father.",café,restaurant,1,./result/Joran van der Sloot-211/370098147,123098
623,1789,David Duke,What type of politician is David Duke?,"david duke (born july 1, 1950) is a white nationalist politician in the united states.",nationalist,supremacist,38,./result/David Duke-876/10352259,84122
625,1790,David Duke,"Which group of representatives, including organizations like the National Alliance and Stormfront, signed the document immediately?","it was immediately signed by eight white nationalists and neo-nazi representatives, most representing organizations, including the notorious national alliance, and stormfront.",nationalists,supremacist,20,./result/David Duke-876/10894501,84122
