,id,subj,prop,obj,subj_id,prop_id,obj_id,s_pop,o_pop,question,possible_answers,num_edits,context,replace_quality,replace_name,s_pop_new,o_pop_new
425,836769,Jean Gabriel Marie,occupation,composer,Q16006794,P106,Q36834,72,28389,What is Jean Gabriel Marie's occupation?,"[""composer""]",1.0," Jean Gabriel Marie (1907–1970) was a French [ENTITY], son of the [ENTITY] Jean Gabriel Prosper Marie.",0.8535993695259094,pianist,22.0,5.0
441,1046764,T. P. Poonatchi,occupation,politician,Q16734625,P106,Q82955,35,25692,What is T. P. Poonatchi's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",1.0, P. Poonatchi. T. P. Poonatchi is a [ENTITY]. He represents the All India Anna Dravida Munnetra Kazhagam party.,0.718457043170929,judge,89.0,3.0
442,1074391,Joni Jenkins,occupation,politician,Q16844560,P106,Q82955,296,25692,What is Joni Jenkins's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",1.0," Joni L. Jenkins (born December 6, 1958) is a [ENTITY]. She also served as Minority Leader in the House from December 2019 until January 2023.",0.718457043170929,judge,290.0,3.0
446,3407518,Augustine Steward,occupation,politician,Q4821216,P106,Q82955,125,25692,What is Augustine Steward's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",1.0," Augustine Steward (1491 – 1571), of Norwich, Norfolk, was an English [ENTITY].",0.718457043170929,judge,164.0,3.0
454,980948,Robert Jonckheere,occupation,astronomer,Q16254896,P106,Q11063,62,12368,What is Robert Jonckheere's occupation?,"[""astronomer""]",1.0," Robert Jonckheere (25 July 1888, Roubaix – 27 June 1974, Marseille) was a French [ENTITY]. He is known for his discovery of more than 3350 double stars. A. R. Jonckheere, psychologist and statistician at University College London, was his son.",0.8416029810905457,astrophysicist,14.0,2.0
456,1862353,Yuki Kaida,occupation,seiyū,Q2412785,P106,Q622807,1444,8090,What is Yuki Kaida's occupation?,"[""seiyū"", ""Japanese voice actress"", ""seiyuu"", ""seiyu"", ""Japanese voice actor""]",1.0," Yuki Kaida (甲斐田 ゆき, Kaida Yuki, born November 30 in Tokyo) is a [ENTITY]. Although she has an extensive vocal range, voicing a large variety of characters throughout her career, she is commonly typecasted as young males, achieving mainstream success as her roles in Hunter × Hunter as Kurapika, The Prince of Tennis as Shusuke Fuji, Shōnen Onmyōji as Abe no Masahiro. and Hetalia: Axis Powers and Hetalia World Series as China or Yao Wang. She was formerly affiliated with the talent management agency Toritori Office, but is currently freelance.",0.9487695693969728,tarento,1360.0,1.0
459,4218380,George Lewis,occupation,politician,Q5541705,P106,Q82955,68,25692,What is George Lewis's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",1.0," George Lewis was an American [ENTITY] who served as the ninth and final mayor of Roxbury, Massachusetts, from 1863 to 1867. Lewis was born in Roxbury to Eliajh Lewis and Elizabeth Sumner (Doggetrt) Lewis.",0.718457043170929,judge,189.0,3.0
460,5022237,Louis O'Dea,occupation,politician,Q6687900,P106,Q82955,52,25692,What is Louis O'Dea's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",1.0," Louis Edward O'Dea (died 19 February 1955) was a [ENTITY]. He was first elected to Dáil Éireann as a Sinn Féin Teachta Dála (TD) for the Galway constituency at the 1923 general election.  He did not take his seat in the Dáil due to Sinn Féin's abstentionist policy. He did not contest June 1927 general election. He was an unsuccessful candidate for the Galway West constituency at the 1938 general election. In 1944 as a member of Fianna Fáil, he was elected to the 5th Seanad on the Cultural and Educational Panel.",0.718457043170929,judge,67.0,3.0
487,3919096,Dinesh Singh,occupation,politician,Q5278104,P106,Q82955,757,25692,What is Dinesh Singh's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",1.0, a [ENTITY],0.718457043170929,judge,223.0,3.0
507,4331418,Harding of Bristol,occupation,magistrate,Q5656139,P106,Q4594605,216,15457,What is Harding of Bristol's occupation?,"[""magistrate""]",1.0," Harding of Bristol (c. 1048 – c. 1125) was sheriff reeve of Bristol, with responsibility for managing a manorial estate and perhaps similar duties to those of a [ENTITY].  He was the son of Eadnoth the Constable, an Anglo-Saxon thane who served as steward to Edward the Confessor and Harold II.  He was the father of Robert Fitzharding who became lord of Berkeley, Gloucestershire.",0.8804270029067993,presbyter,226.0,2.0
529,3752840,Clement Baker,occupation,politician,Q5131287,P106,Q82955,43,25692,What is Clement Baker's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",1.0," Clement Baker (by 1470 – 1516), of New Romney, Kent, was an English [ENTITY].",0.718457043170929,judge,46.0,3.0
536,3119947,Izhar Elias,place of birth,Amsterdam,Q4531189,P19,Q727,74,147710,In what city was Izhar Elias born?,"[""Amsterdam"", ""Mokum"", ""Amsterdam, NL"", ""Amsterdam, Netherlands"", ""A'dam""]",1.0," Izhar Elias (born in [ENTITY], 1977) was the first guitarist to win the Dutch Music Prize. He is specialised in new music for guitar, early and chamber music. By using historical methods and original instruments, Elias has been able to recreate a musical language of the Baroque, Classic and Romantic periods. The Prince Bernard Cultural Foundation made it possible for Izhar to own a 1812 unique Guadagnini guitar. His collaboration with composers, choreographers and film makers has led to over 30 premieres and different multimedia projects.",0.8765648603439331,Rotterdam,54.0,230476.0
544,1251460,Alastair Heathcote,place of birth,Athens,Q1755022,P19,Q1524,161,101288,In what city was Alastair Heathcote born?,"[""Athens""]",1.0," Alastair Heathcote (born 18 August 1977 in [ENTITY], Greece) is a British rower and Captain in the British Army.",0.8693807721138,Patras,171.0,132755.0
551,6315935,Endre Bálint,place of birth,Budapest,Q852788,P19,Q1781,72,134197,In what city was Endre Bálint born?,"[""Budapest"", ""Buda Pest"", ""Buda-Pest"", ""Budapešť"", ""Budapesta"", ""Budapeszt"", ""Buda"", ""Ofen"", ""Budín"", ""Budim"", ""Budon"", ""Pest"", ""Pešť"", ""Pešta"", ""Óbuda"", ""Alt-Ofen"", ""Kőbánya""]",1.0," Endre Bálint (1914 – 1986, in [ENTITY]) was a Hungarian painter and graphic artist.",0.7700609564781189,Szeged,81.0,172609.0
554,5728623,Shahrzad Sepanlou,place of birth,Tehran,Q7462311,P19,Q3616,130,51379,In what city was Shahrzad Sepanlou born?,"[""Tehran"", ""Teheran""]",1.0," Shahrzad Sepanlou (Persian: شهرزاد سپانلو) is a Persian American singer. She was born in [ENTITY] and migrated to the United States in the mid-1980s. Sepanlou is currently a marriage and family therapist in Orange County, CA.",0.8205262422561646,Mashhad,203.0,74888.0
560,3332240,Andrian Mardiansyah,place of birth,Indonesia,Q4759282,P19,Q252,69,383128,In what city was Andrian Mardiansyah born?,"[""Indonesia"", ""Republic of Indonesia"", ""id"", ""ID"", ""INA"", ""IDN""]",1.0, Andrian Mardiansyah (born 14 November 1978) is a [ENTITY].,0.71443772315979,Cyprus,90.0,542925.0
565,5178526,Johann Christian Brand,place of birth,Vienna,Q685519,P19,Q1741,123,122060,In what city was Johann Christian Brand born?,"[""Vienna"", ""Wien"", ""Vienna, Austria"", ""W""]",1.0, was an Austrian painter (son of the German painter a [ENTITY].,0.8340508937835693,Graz,112.0,180080.0
567,3847314,Darley Waddilove,place of birth,Boroughbridge,Q5223878,P19,Q2569056,109,1455,In what city was Darley Waddilove born?,"[""Boroughbridge"", ""Boroughbridge, North Yorkshire"", ""Boroughbridge, West Riding of Yorkshire"", ""Boroughbridge, Yorkshire""]",1.0," Waddilove was born in November 1736, was son of Abel Darley of [ENTITY]. This branch of the Darley family had lived for four generations at Ripley in Yorkshire, but the Waddilove's father migrated to Scoreby in East Riding. He was educated at Westminster School and Clare Hall, Cambridge, of which society he became a scholar, but was unable to take a fellowship, having inherited landed property at [ENTITY] from his uncle, Robert Waddilove (d. 1762), president of Barnard's Inn, whose name he assumed. He graduated BA in 1759, and MA in 1762. He was curate of Wotton in Surrey, and in 1767 rector of Whitby. From 1771 to 1779 he was chaplain to Thomas Robinson, 2nd Baron Grantham, ambassador to the Court at Madrid, during which time he exchanged Whitby for Topcliffe, and appointed himself rector of Cherry Burton, both in Yorkshire. In 1780 he became prebendary of Ripon, 1782 prebendary of York, and in 1786 Archdeacon of the East Riding. He was chaplain to Robert Hay Drummond and William Markham, Archbishops of York, and in 1791 became Dean of Ripon. He received the degree of LLD from John Moore (Archbishop of Canterbury).",0.9699288010597228,Bosham,71.0,1741.0
579,4300406,Gustavo Grondona,place of birth,Buenos Aires,Q5621419,P19,Q1486,56,89934,In what city was Gustavo Grondona born?,"[""Buenos Aires"", ""Buenos Ayres"", ""Autonomous City of Buenos Aires"", ""CABA"", ""Ciudad Autónoma de Buenos Aires""]",1.0, Gustavo Grondona (born 16 June 1968 in [ENTITY]) was an Argentine football midfielder and is currently the assistant manager of Colo Colo football club from Chile.,0.8491666316986084,Rosario,69.0,116593.0
593,6506409,Alfred Jefferis Turner,place of birth,Guangzhou,Q963559,P19,Q16572,143,81537,In what city was Alfred Jefferis Turner born?,"[""Guangzhou"", ""Canton"", ""Kwangchow"", ""Kwongchow""]",1.0," Alfred Jefferis Turner (3 October 1861, in [ENTITY] – 29 December 1947, in Brisbane, Queensland, Australia) was a pediatrician and amateur entomologist. He was the son of missionary Frederick Storrs-Turner. He introduced the use of diphtheria antitoxin to Australia in 1895. He resided in Dauphin Terrace, Highgate Hill, Brisbane, and was known by the nickname ""Gentle Annie"".",0.8263934850692749,Tianjin,136.0,104941.0
597,3027836,Andranik Migranyan,place of birth,Yerevan,Q4292748,P19,Q1953,101,35154,In what city was Andranik Migranyan born?,"[""Yerevan"", ""Erivan"", ""Erevan"", ""The Pink City"", ""Irevan"", ""Iravan""]",1.0," Andranik Migranyan (Armenian: Անդրանիկ Միհրանյան; Russian: Андраник Мигранян; born 10 February 1949 in [ENTITY], Armenia) is an Armenian-born Russian political scientist, who works as a professor at the Moscow State Institute of International Relations.",0.830579400062561,Tbilisi,190.0,66809.0
599,3075565,Annika Billstam,place of birth,Uppsala,Q440688,P19,Q25286,90,19024,In what city was Annika Billstam born?,"[""Uppsala"", ""Upsala""]",1.0," Annika Billstam (born 8 March 1976) is a Swedish orienteering competitor living in [ENTITY]. Formerly competing for OK Linné in [ENTITY], Annika moved to Stockholm and switched to IFK Lidingö in the winter of 2007 before switching back to OK Linné in January 2012. She earned a silver medal in the relay at the 2007 World Orienteering Championships in Kyiv. She followed that with bronze medals in the long distance and the relay at the 2008 World Orienteering Championships in the Czech Republic.",0.9088619947433472,Malmö,109.0,27828.0
600,2693771,Suad Nasr,place of birth,Cairo,Q3546367,P19,Q85,495,75001,In what city was Suad Nasr born?,"[""Cairo"", ""Cairo, Egypt""]",1.0," Suad Nasr Abd El Aziz (Arabic: سعاد نصر عبد العزيز; 26 December 1953 – 5 January 2007) was an Egyptian theatre, television, and film actress. She was born in a [ENTITY]. Her fame increased for her role as the character ""Maisa"", whom she played in the TV series Wanees's Diary, in its first five parts, which began in 1994.",0.8721728920936584,Nairobi,456.0,100387.0
605,5993862,Tim Alexander,place of birth,Chertsey,Q7803073,P19,Q1070428,141,6695,In what city was Tim Alexander born?,"[""Chertsey"", ""Chertsey, Surrey""]",1.0," Timothy Mark Alexander (born 29 March 1973) in a [ENTITY], is an English retired professional footballer who played as a central defender for Wimbledon and Barnet in the Football League.",0.9322804808616638,Glossop,8080.0,9474.0
607,467655,Eric Defoort,place of birth,Ypres,Q1351218,P19,Q102728,44,13267,In what city was Eric Defoort born?,"[""Ypres"", ""leper""]",1.0," Eric Defoort (27 June 1943 in [ENTITY], Belgium – 16 or 17 December 2016) was a Flemish Belgian politician and president of the European Free Alliance.",0.9196250438690186,Belœil,63.0,16581.0
617,903653,Greg Windsperger,place of birth,Minneapolis,Q16151551,P19,Q36091,96,76934,In what city was Greg Windsperger born?,"[""Minneapolis"", ""Minneapolis, Minnesota"", ""Minneapolis, MN"", ""the 612""]",1.0," Greg Windsperger (born December 30, 1951, in [ENTITY]) is an American former ski jumper who competed in the 1976 Winter Olympics.",0.9153009057044984,Cleveland,48.0,110770.0
625,4980703,Paul Humphries,place of birth,Bromsgrove,Q6584039,P19,Q1190876,152,5303,In what city was Paul Humphries born?,"[""Bromsgrove""]",1.0," Paul Jonathan Humphries (born 20 October 1965) is a former English cricketer.  Humphries was a right-handed batsman who bowled right-arm fast-medium.  He was born at [ENTITY], Worcestershire.",0.9299464225769044,Weston-super-Mare,61.0,5519.0
631,197777,Elena Romagnolo,place of birth,Borgosesia,Q1136947,P19,Q24901,109,459,In what city was Elena Romagnolo born?,"[""Borgosesia""]",1.0," Elena Romagnolo (born 5 October 1982 in [ENTITY]) is an Italian steeplechaser, middle and long-distance runner. She is the national record holder in the 3000 metres steeplechase, but now competes mainly in the 5000 metres.",0.9803458452224731,Valenza,102.0,395.0
640,2609987,Zijah Sokolović,place of birth,Sarajevo,Q3435238,P19,Q11194,460,79610,In what city was Zijah Sokolović born?,"[""Sarajevo"", ""City of Sarajevo""]",1.0," Zijah Sokolović (born 22 December 1950) is a Bosnian actor, writer and director. He is the director of Theaterland in Salzburg, professor at the Anton Bruckner Private University in Linz, artistic director of Dežela gledališča theatre in Ljubljana and artistic project leader for Dramatic society, Dramatično društvo, but also directs plays in Belgrade, Zagreb, Banja Luka and in his hometown of [ENTITY].",0.8900559544563293,Thessaloniki,690.0,61974.0
642,2748982,Bob Warlick,place of birth,Hickory,Q3641352,P19,Q2028564,80,9024,In what city was Bob Warlick born?,"[""Hickory"", ""Hickory, North Carolina""]",1.0," Warlick was born in [ENTITY], North Carolina, and attended Ridgeview High School. The 6'5"" guard/forward played at Pueblo Junior College in Colorado, then transferred to Pepperdine University in 1961. At Pepperdine, he helped the school reach the NCAA Tournament after a season in which he averaged 16.4 points and 9.6 rebounds. Warlick then played professionally in the NBA and ABA as a member of the Detroit Pistons, San Francisco Warriors, Milwaukee Bucks, Phoenix Suns, and Los Angeles Stars. He averaged 7.9 points per game in his professional career, which was cut short by a knee injury.",0.9688462018966676,Rock Hill,115.0,20223.0
647,6020401,Tony Shields,place of birth,Strabane,Q7823401,P19,Q1027659,73,3208,In what city was Tony Shields born?,"[""Strabane"", ""Straban"", ""An Srath Bán"", ""An Srath Ban""]",1.0," Anthony Shields (born 4 June 1980) in [ENTITY], Northern Ireland is an Irish professional footballer who played as a midfielder for Finn Harps. He played for Peterborough United in the Football League.",0.933792531490326,Lisburn,127.0,4432.0
649,1632004,Amoene van Haersolte,place of birth,Utrecht,Q2067624,P19,Q803,55,30820,In what city was Amoene van Haersolte born?,"[""Utrecht"", ""Utreg"", ""Utrecht (city)""]",1.0," Van Haersolte was born in [ENTITY]. She won the first P. C. Hooft Award in 1947. She died, aged 62, in Dalfsen.",0.9218758940696716,Dordrecht,44.0,36674.0
662,5159397,Michael Woolston Ash,place of birth,Philadelphia,Q6835447,P19,Q1345,107,159313,In what city was Michael Woolston Ash born?,"[""Philadelphia"", ""Philly"", ""City of Brotherly Love"", ""Cradle of Liberty"", ""Philadelphia, Pennsylvania"", ""City of Philadelphia"", ""Philadelphia, PA""]",1.0," Ash was born in [ENTITY]. He studied law, was admitted to the bar on June 21, 1811, and commenced practice in [ENTITY].  He served as a first lieutenant and regimental adjutant in the First Pennsylvania Militia Volunteers during the War of 1812.  At the close of the war he went into partnership with James Buchanan, who became the 15th President of the United States, and continued the practice of his profession in [ENTITY].",0.911260187625885,Baltimore,127.0,218304.0
676,2118274,Tameem Al-Kubati,place of birth,Sanaa,Q2753071,P19,Q2471,107,16308,In what city was Tameem Al-Kubati born?,"[""Sanaa"", ""Sanaa"", ""Sana"", ""Ṣan‘ā’"", ""Sana‘a"", ""Amanat Al-Asemah"", ""Amanat al-Asimah"", ""Amanat Al Asimah""]",1.0, Tameem Mohammed Ahmed Al-Kubati (born 1 January 1989 in [ENTITY]'a) is a Yemeni taekwondo practitioner.,0.8114166259765625,Ta'izz,88.0,32198.0
683,223230,Aina Kusuda,place of birth,Chiba Prefecture,Q11541252,P19,Q80011,618,13421,In what city was Aina Kusuda born?,"[""Chiba Prefecture""]",1.0," Aina Kusuda (楠田 亜衣奈, Kusuda Aina, born February 1, 1989) is a [ENTITY]. Kusuda is currently affiliated with Just Pro. Kusuda is best known as Nozomi Toujou in Love Live! School Idol Project series, and has worked with the other Love Live! girls in singing multiple songs that have charted on Oricon. Kusuda's other major roles include Suko in Million Doll and Rose in Rilu Rilu Fairilu. Her nickname is ""Kussun"".",0.9278254508972168,Kanagawa Prefecture,509.0,15473.0
685,3028114,Lisa Miller,place of birth,United States of America,Q4293505,P19,Q30,753,1629691,In what city was Lisa Miller born?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",1.0," Lisa Jane Miller is an [ENTITY]n professor, researcher and clinical psychologist, best known as a research scholar on spirituality in psychology.  Miller is a tenured Full Professor at Columbia University, Teachers College in the Clinical Psychology Program and Founder of the Spirituality Mind Body Institute. ",0.6416250467300415,Lebanon,116.0,28905.0
691,5405575,Paul Walker,place of birth,Kilwinning,Q7154216,P19,Q1013827,74,2127,In what city was Paul Walker born?,"[""Kilwinning"", ""The Crossroads of Ayrshire""]",1.0, Paul Walker (born 20 August 1977 in a [ENTITY] is a Scottish footballer who played as a winger.,0.9236159324645996,Gosport,451147.0,1922.0
